"1","Abat, cuit (aliment moyen)","1"
"2","Abondance","47"
"3","Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)","51"
"4","Abricot au sirop léger, appertisé, égoutté","51"
"5","Abricot au sirop léger, appertisé, non égoutté","51"
"6","Abricot au sirop, appertisé, égoutté","51"
"7","Abricot au sirop, appertisé, non égoutté","51"
"8","Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique","53"
"9","Abricot pays, pulpe, cru, prélevé à la Martinique","53"
"10","Abricot, dénoyauté, cru","52"
"11","Abricot, dénoyauté, sec","55"
"12","Abricot, dénoyauté, sec, moelleux (réhydraté à 3545%)","55"
"13","Accra de poisson","108"
"14","Agar (algue), cru","5"
"15","Agar (algue), séché","5"
"16","Agneau, collier, braisé ou bouilli","2"
"17","Agneau, collier, cru","2"
"18","Agneau, côte découverte, crue","2"
"19","Agneau, côte filet, crue","2"
"20","Agneau, côte filet, grillée/poêlée","2"
"21","Agneau, côte ou côtelette, crue (aliment moyen)","2"
"22","Agneau, côte ou côtelette, cuite (aliment moyen)","2"
"23","Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)","2"
"24","Agneau, côte première, crue","2"
"25","Agneau, côte première, grillée/poêlée","2"
"26","Agneau, côtelette, crue","2"
"27","Agneau, côtelette, grillée","2"
"28","Agneau, épaule, crue","2"
"29","Agneau, épaule, maigre, crue","2"
"30","Agneau, épaule, maigre, rôtie/cuite au four","2"
"31","Agneau, épaule, rôtie/cuite au four","2"
"32","Agneau, gigot, braisé","2"
"33","Agneau, gigot, cru","2"
"34","Agneau, gigot, grillé/poêlé","2"
"35","Agneau, gigot, rôti/cuit au four","2"
"36","Agneau, selle, crue","2"
"37","Agneau, selle, partie maigre, grillée/poêlée","2"
"38","Agneau, selle, partie maigre, rôtie/cuite au four","2"
"39","Agneau, viande, cuite (aliment moyen)","2"
"40","Ail séché, poudre","61"
"41","Ail, cru","60"
"42","Ail, rôti/cuit au four","60"
"43","Ail, sauté/poêlé, sans matière grasse","60"
"44","Alcool pur","80"
"45","Aligot (purée de pomme de terre à la tomme fraîche), préemballé","95"
"46","Amande (avec peau)","50"
"47","Amande, grillée, salée","50"
"48","Amande, mondée, émondée ou blanchie","50"
"49","Amarante, crue","90"
"50","Amidon de maïs ou fécule de maïs","13"
"51","Amidon de riz","13"
"52","Ananas au jus d'ananas, appertisé, non égoutté","51"
"53","Ananas au jus d'ananas, égoutté, appertisé","51"
"54","Ananas au sirop léger, appertisé, égoutté","51"
"55","Ananas au sirop léger, appertisé, non égoutté","51"
"56","Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)","54"
"57","Ananas, pulpe, cru","52"
"58","Ananas, pulpe, cru , prélevé à la Martinique","53"
"59","Anchois au sel (anchoité, semiconserve)","108"
"60","Anchois commun, cru","103"
"61","Anchois commun, mariné, préemballé","108"
"62","Anchois, filets à l'huile, semiconserve, égoutté","108"
"63","Anchois, filets roulés aux câpres, semiconserve, égoutté","108"
"64","Andouille","10"
"65","Andouille de Guéméné","10"
"66","Andouille de Vire","10"
"67","Andouille, réchauffée à la poêle","10"
"68","Andouillette de Troyes, à cuire","10"
"69","Andouillette, à cuire","10"
"70","Andouillette, sautée/poêlée","10"
"71","Aneth, frais","60"
"72","Anguille, bouillie/cuite à l'eau","104"
"73","Anguille, crue","103"
"74","Anguille, cuite (aliment moyen)","104"
"75","Anguille, rôtie/cuite au four","104"
"76","Anone ou chérimole, pulpe, crue","52"
"77","Aonori (Enteromorpha sp.), séchée ou déshydratée","5"
"78","Apéritif à base de vin ou vermouth","80"
"79","Apéritif anisé sans alcool","80"
"80","Arachide, bouillie/cuite à l'eau, salée","50"
"81","Araignée de mer, cuite","83"
"82","Artichaut, appertisé, égoutté","73"
"83","Artichaut, coeur, appertisé, égoutté","73"
"84","Artichaut, cru","72"
"85","Artichaut, cuit","73"
"86","Artichaut, cuit à la vapeur sous pression","73"
"87","Artichaut, fond, appertisé, égoutté","73"
"88","Artichaut, fond, surgelé, cru","72"
"89","Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","5"
"90","Asiago","47"
"91","Asperge blanche, bouillie/cuite à l'eau","73"
"92","Asperge verte, bouillie/cuite à l'eau","73"
"93","Asperge, appertisée, égouttée","73"
"94","Asperge, blanche ou violette, pelée, crue","72"
"95","Asperge, bouillie/cuite à l'eau","73"
"96","Asperge, pelée, crue","72"
"97","Asperge, verte, crue","72"
"98","Aubergine, crue","72"
"99","Aubergine, cuite","73"
"100","Aubergine, pulpe et peau, rôtie/cuite au four","73"
"101","Autruche, viande crue","11"
"102","Autruche, viande cuite","11"
"103","Avocat, pulpe, cru","72"
"104","Avoine, crue","90"
"105","Baba au rhum","56"
"106","Baba au rhum, préemballé","56"
"107","Bagel","88"
"108","Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop)","56"
"109","Bambou, pousse, crue","72"
"110","Bambou, pousses, appertisées, égouttées","73"
"111","Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique","74"
"112","Banane plantain, crue","72"
"113","Banane plantain, cuite","105"
"114","Banane, pulpe, crue","52"
"115","Banane, pulpe, sèche","55"
"116","Bar commun ou loup (Méditerranée), cru, élevage","103"
"117","Bar commun ou loup (Méditerranée), cru, sauvage","103"
"118","Bar commun ou loup, cru, sans précision","103"
"119","Bar commun ou loup, rôti/cuit au four","104"
"120","Bar ou loup de l'Atlantique, cru","103"
"121","Bar rayé ou bar d'Amérique, cru","103"
"122","Barre à la noix de coco, enrobée de chocolat","28"
"123","Barre biscuitée fourrée aux fruits, allégée en matière grasse","18"
"124","Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux","12"
"125","Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux","12"
"126","Barre céréalière aux amandes ou noisettes","12"
"127","Barre céréalière aux fruits","12"
"128","Barre céréalière chocolatée","12"
"129","Barre céréalière chocolatée aux fruits","12"
"130","Barre céréalière diététique hypocalorique","12"
"131","Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux","12"
"132","Barre chocolat au lait avec nougat","28"
"133","Barre chocolatée aux fruits secs","28"
"134","Barre chocolatée biscuitée","28"
"135","Barre chocolatée non biscuitée enrobée","28"
"136","Barre glacée chocolatée","58"
"137","Barre goûter frais au lait et chocolat","28"
"138","Barre goûter frais au lait et chocolat avec génoise","28"
"139","Barre pâtissière, préemballé","56"
"140","Barres ou confiserie chocolatées au lait","28"
"141","Base de pizza à la crème","64"
"142","Base de pizza tomatée","64"
"143","Basilic, frais","60"
"144","Basilic, séché","61"
"145","Batavia, crue","72"
"146","Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée","102"
"147","Baudroie rousse ou Lotte, crue","103"
"148","Beaufort","47"
"149","Beignet à la confiture","56"
"150","Beignet de crevette","108"
"151","Beignet de légumes","96"
"152","Beignet de viande, volaille ou poisson, fait maison, cru","43"
"153","Beignet fourré aux fruits, préemballé","56"
"154","Beignet fourré goût chocolat, préemballé","56"
"155","Beignet rond moelleux, sans fourrage, saupoudré de sucre","56"
"156","Bette ou blette, côte et feuille, bouillie/cuite à l'eau","73"
"157","Bette ou blette, crue","72"
"158","Bette ou blette, cuite","73"
"159","Betterave rouge, crue","72"
"160","Betterave rouge, cuite","73"
"161","Beurre à 3941% MG, léger, doux","14"
"162","Beurre à 6062% MG, à teneur réduite en matière grasse, demisel","14"
"163","Beurre à 6062% MG, à teneur réduite en matière grasse, doux","14"
"164","Beurre à 80% MG, demisel","14"
"165","Beurre à 80% MG, salé","14"
"166","Beurre à 82% MG, doux","14"
"167","Beurre à 82% MG, doux, tendre","14"
"168","Beurre à teneur en matière grasse inconnue (allégé ou non), demisel (aliment moyen)","14"
"169","Beurre de cacahuète ou Pâte d'arachide","50"
"170","Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen)","14"
"171","Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen)","14"
"172","Bicarbonate de soude","64"
"173","Bière ""coeur de marché"" (45° alcool)","15"
"174","Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)","15"
"175","Bière ""spéciale"" (56° alcool)","15"
"176","Bière blanche","15"
"177","Bière brune","15"
"178","Bière faiblement alcoolisée (3° alcool)","15"
"179","Bière forte (>8° alcool)","15"
"180","Bière sans alcool (<1,2° alcool)","15"
"181","Bigorneau, cuit","83"
"182","Biscotte briochée","16"
"183","Biscotte classique","16"
"184","Biscotte complète ou riche en fibres","16"
"185","Biscotte multicéréale","16"
"186","Biscotte sans adjonction de sel","16"
"187","Biscuit apéritif (aliment moyen)","17"
"188","Biscuit apéritif à base de pomme de terre, type tuile salée","17"
"189","Biscuit apéritif feuilleté","17"
"190","Biscuit apéritif soufflé, à base de maïs, à la cacahuète","17"
